DOCUMENT ID,RECORD TYPE,REFERENCE BY CRFN ,REFERENCE BY DOC ID,REFERENCE BY REEL YEAR,REFERENCE BY REEL BOROUGH,REFERENCE BY REEL NBR,REFERENCE BY REEL PAGE,GOOD THROUGH DATE
2014022600653002,X,2012000385721,,0,0,0,0,02/28/2014
2014021900973003,X,2010000108125,,0,0,0,0,02/28/2014
2013121800402001,X,2006000580525,,0,0,0,0,02/28/2014
2014013101086002,X,2007000239820,,0,0,0,0,02/28/2014
2014012300341001,X,2006000084346,,0,0,0,0,02/28/2014
2014022000055001,X,2004000405004,,0,0,0,0,02/28/2014
2014012300341002,X,2006000084346,,0,0,0,0,02/28/2014
2014012200942002,X,,,2002,2,1995,708,02/28/2014
2014020700848001,X,2007000586622,,0,0,0,0,02/28/2014
2014012200942004,X,,,2002,2,1995,708,02/28/2014
2014013000454002,X,2007000105340,,0,0,0,0,02/28/2014
2014011500555002,X,2013000511444,,0,0,0,0,02/28/2014
2014021000193003,X,2006000643715,,0,0,0,0,02/28/2014
2014011700885002,X,2003000393098,,0,0,0,0,02/28/2014
2014021000193004,X,2006000643715,,0,0,0,0,02/28/2014
2014011500555004,X,2013000511446,,0,0,0,0,02/28/2014
2014010800926007,X,,2014010800926004,0,0,0,0,02/28/2014
2014021000301003,X,2006000643718,,0,0,0,0,02/28/2014
2014013000372002,X,2010000132944,,0,0,0,0,02/28/2014
2014012300956004,X,,,1999,1,2984,915,02/28/2014
2014020700100010,X,,2014020700100008,0,0,0,0,02/28/2014
2014020700831002,X,2008000242714,,0,0,0,0,02/28/2014
2014020500406002,X,2005000374541,,0,0,0,0,02/28/2014
2014013001028002,X,2007000105251,,0,0,0,0,02/28/2014
2014020500443002,X,2005000576478,,0,0,0,0,02/28/2014
2013123100404001,X,2008000053964,,0,0,0,0,02/28/2014
2014021801012001,X,2007000625307,,0,0,0,0,02/28/2014
2013103100556001,X,2005000478420,,0,0,0,0,02/28/2014
2014013100670004,X,,,1994,4,3907,2124,02/28/2014
2013112700810002,X,,2012040301009003,0,0,0,0,02/28/2014
2014010601385002,X,2013000460626,,0,0,0,0,02/28/2014
2014020600027002,X,,,1997,1,2468,1049,02/28/2014
2014013000279002,X,2007000317126,,0,0,0,0,02/28/2014
2014010601385005,X,2013000460626,,0,0,0,0,02/28/2014
2014020400196002,X,2004000627724,,0,0,0,0,02/28/2014
2014010601385008,X,2013000460626,,0,0,0,0,02/28/2014
2014012900441002,X,2011000062147,,0,0,0,0,02/28/2014
2014013100529004,X,2005000388711,,0,0,0,0,02/28/2014
2014013001193004,X,2006000538614,,0,0,0,0,02/28/2014
2014013000190002,X,2005000267563,,0,0,0,0,02/28/2014
2014010701347001,X,2007000386658,,0,0,0,0,02/28/2014
2014013100013004,X,2008000101779,,0,0,0,0,02/28/2014
2014013000515003,X,2005000077443,,0,0,0,0,02/28/2014
2014022700209001,X,2009000151164,,0,0,0,0,02/28/2014
2014012500040002,X,2007000542669,,0,0,0,0,02/28/2014
2014012200894002,X,2011000452473,,0,0,0,0,02/28/2014
2014013100462002,X,2013000062178,,0,0,0,0,02/28/2014
2014012400102002,X,2013000154063,,0,0,0,0,02/28/2014
2014012500078002,X,2005000148993,,0,0,0,0,02/28/2014
2014012901009004,X,,,1999,3,4378,1538,02/28/2014
2014012500046002,X,2005000397180,,0,0,0,0,02/28/2014
2014021400105001,X,2013000383273,,0,0,0,0,02/28/2014
2014021401042001,X,2013000303857,,0,0,0,0,02/28/2014
2014012700786002,X,2013000473645,,0,0,0,0,02/28/2014
2013101800527001,X,2013000233857,,0,0,0,0,02/28/2014
2014021800443001,X,2008000472988,,0,0,0,0,02/28/2014
2014021101081001,X,2013000334995,,0,0,0,0,02/28/2014
2014021801204001,X,2012000239206,,0,0,0,0,02/28/2014
2014020700271001,X,2008000393054,,0,0,0,0,02/28/2014
2014022000649005,X,2004000694362,,0,0,0,0,02/28/2014
2014012700191001,X,2013000000869,,0,0,0,0,02/28/2014
2014020600568001,X,2010000061698,,0,0,0,0,02/28/2014
2014021200042001,X,2013000401284,,0,0,0,0,02/28/2014
